mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness,"flooded (yes =1, no =0)",distance_to_drainage (m)
9.06,4.47,17.28,82,0,184.88
59.5,8.7,13.78,0,0,10.42
922.62,11.4,0,0,0,486.75
79.04,9.71,16.88,0,0,2.87
6.87,3.73,23.06,0,1,0
11.85,4.33,20.55,18,0,3.39
9.71,4.74,13.04,21,0,250.58
8.78,5.64,13.04,13,0,128.54
8.81,8.24,21.94,13,0,401.62
10.25,3.06,13.04,8,0,245.56
2.77,7.25,13.04,0,1,0
4.4,7.72,21.98,2,0,0
7.53,6.17,13.04,11,0,295.49
10,4.09,13.04,13,0,155.91
141,12.07,15.72,0,0,49.99
178.63,18.12,15.72,0,0,127.37
142.57,19.64,15.72,0,0,29.44
27.13,12.09,17.14,0,0,0
60.33,19.49,16.56,0,0,111.06
62.13,18.98,12.36,0,0,0
55.3,17.26,10.94,0,0,49.77
58.71,13.62,10.94,0,0,129.01
44.88,5.38,10.94,0,0,0
50.33,11.47,11.51,0,0,146.69
51.85,14.17,10.94,0,0,44.96
48.44,13.87,13.07,0,0,0
47.85,9.41,28.73,10,0,516.39
71.5,21.49,34.57,0,0,314.27
14.81,5.48,29.48,31,0,369.03
17.65,4.73,15.09,86,0,20.48
16.89,4.48,29.48,9,0,150.3
7.88,3.95,24.31,21,0,18.6
15.67,2.42,29.48,5,0,493.88
21.17,5.87,16.54,0,0,316.5
9.17,3.64,24.31,16,0,30.03
11.75,4.41,24.31,12,0,12.47
11.57,3.83,24.31,15,0,53.83
35.47,4.23,16.54,0,0,0
11.57,3.83,24.31,18,0,52.29
29,15.64,20.38,0,0,0
6,7.53,28.28,0,0,0
15.51,6.52,28.28,12,0,10.24
30.22,7.26,17.94,13,0,0
19.05,4.85,23.15,285,0,3.24
35.38,8.38,19.18,19,0,12.94
27.5,3.34,20.38,0,0,9.56
27.5,8.31,20.38,6,0,7.95
28,3.34,20.38,0,0,0
21.18,4.76,24.33,0,0,7.62
9,2.87,28.28,0,0,0
12.75,4.72,28.28,3,0,6.86
28,10.76,20.38,0,0,0
28.89,12.14,20.38,3,0,9.98
14.08,12.87,22.52,0,1,0
8.5,10.6,22.52,0,0,144.35
43.67,6.4,22.52,0,0,364.08
27.62,9.45,26.2,6,0,417.25
19.62,9.39,23.12,0,0,7.81
44.9,8.49,20.66,0,0,156.73
32.77,8.26,16.67,0,0,1.92
10.23,5.98,25.7,22,0,98.51
6.67,7.64,25.7,25,0,73.93
9.23,3.08,12.58,0,0,47.61
11.14,4.63,25.7,118,0,2.61
21.5,4.91,25.7,8,0,503.69
12.31,2.55,18.62,22,0,252.78
4.69,7.52,18.62,0,0,57.4
10,4.04,25.7,19,0,426.13
11.67,3.39,22.48,0,0,134.48
5.53,4.16,18.62,50,0,387.93
11,3.51,22.48,3,0,2.3
7.92,7.74,25.7,13,0,10.98
17.25,6.04,18.62,0,0,611.04
3.8,2.85,17.01,12,0,0
13.42,5.67,18.62,24,0,192.39
9.56,3.42,28.46,50,0,107.08
4.93,2.16,17.01,19,0,42.57
